bee_id,paint_color,paint_size,paint_shape,comment
1,brown,small,round,
2,green,large,undefined,
3,blue,large,round,
4,pink,large,undefined,paint on wings
5,yellow,small,round,
6,yellow,small,streak,
7,purple,large,round,
8,red,large,round,bit of pain on right wing
9,white,large,undefined,paint on wings
10,purple,medium,streak,paint on right eye
11,red,medium,round,
12,brown,large,undefined,paint on right wing
13,white,large,round,small spikes on top
14,green,large,round,
15,white,medium,undefined,vertical bright line
16,brown,small,dot,small dot on right side
17,green,small,dot,top-right side
18,yellow,small,streak,left side
19,orange,large,round,
