flower_id,cx,cy,x1,y1,x2,y2,x3,y3,x4,y4,idx,idy,color
1,2685.75,348.0,2713,238,2796,390,2658,458,2576,306,5,0,blue
2,2684.25,687.75,2719,572,2804,733,2648,801,2566,645,5,1,white
3,2681.25,1224.5,2766,1138,2766,1322,2597,1310,2596,1128,5,2,blue
4,2686.25,1709.75,2754,1606,2778,1783,2617,1811,2596,1639,5,3,white
5,2686.25,2170.5,2800,2129,2722,2287,2570,2212,2653,2054,5,4,blue
6,2665.0,2574.0,2787,2579,2656,2700,2543,2566,2674,2451,5,5,white
7,2270.25,196.5,2282,80,2393,213,2258,316,2148,177,4,0,white
8,2312.75,670.25,2416,606,2385,778,2211,736,2239,561,4,1,blue
9,2269.5,1130.75,2367,1053,2349,1235,2171,1206,2191,1029,4,2,white
10,2225.0,1706.25,2319,1615,2307,1803,2131,1796,2143,1611,4,3,blue
11,2187.5,2191.25,2295,2121,2254,2293,2079,2260,2122,2091,4,4,white
12,2263.25,2610.75,2374,2555,2312,2720,2152,2668,2215,2500,4,5,blue
13,1770.0,182.0,1899,180,1778,303,1643,183,1760,62,3,0,blue
14,1771.75,641.25,1880,575,1842,747,1663,708,1702,535,3,1,white
15,1757.75,1069.25,1889,1057,1770,1197,1626,1080,1746,943,3,2,blue
16,1823.0,1611.25,1943,1550,1888,1732,1702,1671,1759,1492,3,3,white
17,1716.0,2143.0,1843,2176,1679,2267,1589,2111,1753,2018,3,4,blue
18,1779.25,2643.5,1854,2539,1883,2712,1704,2745,1676,2578,3,5,white
19,1279.0,206.5,1388,140,1348,310,1171,272,1209,104,2,0,white
20,1263.75,615.5,1350,518,1364,702,1176,709,1165,533,2,1,blue
21,1239.0,1134.25,1308,1019,1354,1201,1170,1248,1124,1069,2,2,white
22,1301.75,1613.25,1392,1508,1408,1701,1212,1719,1195,1525,2,3,blue
23,1296.25,2172.5,1373,2068,1406,2242,1220,2276,1186,2104,2,4,white
24,1316.5,2605.0,1410,2517,1409,2684,1222,2693,1225,2526,2,5,blue
25,786.0,148.25,896,75,857,250,676,220,715,48,1,0,blue
26,756.5,644.75,851,547,853,726,660,742,662,564,1,1,white
27,769.5,1064.0,895,1012,823,1188,643,1115,717,941,1,2,blue
28,775.5,1575.75,910,1596,757,1709,642,1556,793,1442,1,3,white
29,746.75,2068.0,876,2019,795,2193,622,2115,694,1945,1,4,blue
30,794.25,2591.75,907,2515,869,2707,681,2666,720,2479,1,5,white
31,294.0,123.0,407,61,354,226,178,188,237,17,0,0,white
32,286.25,634.25,381,539,376,726,191,728,197,544,0,1,blue
33,245.25,1044.0,349,954,334,1143,140,1134,158,945,0,2,white
34,257.5,1550.25,390,1542,261,1686,126,1560,253,1413,0,3,blue
35,213.5,2091.25,269,1965,340,2143,158,2218,87,2039,0,4,white
36,220.25,2562.0,303,2455,328,2642,137,2671,113,2480,0,5,blue
