track_id,start_frame,end_frame,flower_id,bee_id
1,12,36,21,1
2,12,504,35,0
4,12,261,31,2
5,12,168,22,0
6,12,25,2,0
7,12,32,31,0
8,12,64,15,3
9,12,616,14,4
10,12,40,22,0
11,12,68,25,0
12,12,616,0,19
13,12,40,14,6
14,12,128,33,0
15,12,425,12,0
16,13,114,15,7
18,17,17,0,8
19,17,194,16,9
20,17,24,16,17
21,17,142,33,0
22,17,288,22,0
23,19,19,0,10
24,20,22,0,0
25,20,32,0,0
26,21,97,3,8
27,23,32,20,10
29,31,69,25,11
30,33,42,21,17
31,40,47,19,10
32,45,75,0,0
33,46,217,22,0
34,48,51,0,1
35,50,347,19,6
36,51,144,20,17
37,57,57,0,18
38,60,60,0,1
39,63,65,0,1
40,63,79,2,0
41,66,125,15,3
42,68,188,18,1
43,73,175,19,0
44,75,178,10,18
45,77,93,9,12
46,82,143,35,0
47,92,132,9,0
48,93,128,8,0
49,102,104,0,11
50,103,104,0,8
51,107,125,34,11
52,108,108,3,0
53,108,123,0,8
54,109,149,1,0
55,114,146,8,8
56,121,125,9,0
57,124,152,0,0
58,132,142,10,0
59,135,137,29,11
60,137,190,4,0
61,137,243,32,0
62,137,140,0,0
63,138,139,0,3
64,152,171,22,3
65,152,228,19,17
66,156,181,13,8
67,156,156,0,11
68,157,165,17,13
69,160,180,3,0
71,168,180,0,0
72,174,206,18,0
73,184,192,28,0
74,184,191,24,0
75,185,307,20,0
76,188,249,10,3
77,188,197,0,8
78,188,188,0,0
79,192,206,0,0
80,198,362,9,0
81,198,202,0,11
82,199,204,0,9
83,199,207,26,13
84,199,215,18,0
85,199,232,27,8
86,201,203,6,0
87,205,206,0,7
88,209,212,20,0
89,209,236,9,0
90,215,235,25,13
91,215,295,16,0
92,216,216,0,0
93,219,220,0,1
94,221,255,12,0
95,222,223,0,0
96,223,229,21,14
97,225,353,9,1
98,225,240,13,0
99,225,254,36,0
100,226,256,1,10
101,227,264,9,0
102,230,238,19,0
103,231,252,0,0
104,235,268,13,17
105,238,269,15,14
106,243,275,0,9
108,244,257,13,0
109,245,268,19,0
110,246,248,0,18
111,252,296,0,0
112,253,263,1,0
113,254,594,9,16
115,256,282,25,11
116,260,338,3,3
117,262,279,7,0
118,265,304,17,0
119,271,323,19,2
120,277,285,0,0
121,279,307,7,17
122,279,295,13,11
123,280,281,0,0
124,285,315,25,14
125,286,288,0,18
126,288,377,10,0
127,291,307,29,18
128,293,330,27,8
129,297,346,0,0
130,297,297,0,13
131,301,301,3,13
132,306,312,18,0
133,308,308,0,0
134,309,350,20,10
135,313,340,28,18
136,313,314,21,0
137,314,415,33,0
138,314,343,8,17
139,314,415,10,0
140,314,339,21,0
141,314,358,0,0
142,314,333,0,0
143,326,457,22,0
144,327,365,0,0
145,327,353,26,0
146,336,429,28,8
147,336,423,0,0
148,338,386,1,0
149,338,437,2,11
150,345,457,7,2
151,349,349,0,13
152,350,352,0,0
153,350,350,0,0
154,356,396,3,13
155,358,358,21,0
157,361,362,21,0
158,364,616,7,6
159,368,537,1,18
160,370,440,14,0
161,370,405,14,1
162,371,408,9,0
163,373,475,14,0
164,378,419,19,0
165,379,380,0,0
166,384,440,3,0
167,384,432,0,0
168,391,452,1,0
169,391,413,1,0
170,393,414,0,0
171,393,451,1,0
172,399,468,15,10
173,404,518,5,3
174,405,420,0,0
175,406,534,0,0
176,409,412,16,13
177,417,460,19,1
178,421,427,10,15
179,422,560,2,0
180,424,616,14,5
181,424,466,22,13
182,425,499,32,0
183,429,429,0,0
184,431,447,10,0
185,432,616,11,0
186,433,435,0,0
187,434,510,29,12
188,438,486,0,0
189,438,441,0,0
190,448,456,7,0
191,450,467,3,11
192,451,462,21,2
193,452,519,13,0
194,455,475,16,15
195,457,468,1,0
196,462,465,0,0
197,469,502,15,0
199,471,471,0,1
200,476,476,0,1
201,476,578,26,2
202,479,489,21,13
203,479,484,0,11
204,485,564,19,0
205,555,577,14,0
206,489,616,2,0
207,489,489,0,14
208,490,519,13,11
209,496,496,0,13
210,498,539,0,0
211,499,616,27,13
212,499,503,12,0
213,500,506,0,14
214,506,525,35,0
215,507,507,0,0
216,510,512,0,11
217,512,512,0,0
218,513,524,20,14
219,516,533,26,0
220,516,612,31,15
221,518,541,31,0
222,519,532,15,11
223,519,523,0,0
224,521,607,5,3
225,524,525,0,11
226,524,570,17,0
227,528,581,36,12
228,528,529,0,0
229,533,565,26,14
230,535,616,28,0
231,537,616,0,0
232,542,579,33,0
233,542,616,18,0
234,548,548,0,11
236,548,550,0,0
238,554,554,0,11
239,555,572,25,0
240,557,562,19,11
241,560,575,0,0
242,601,601,0,0
243,561,569,17,0
244,567,601,4,10
245,569,608,0,0
246,569,569,0,0
247,571,616,25,11
248,572,584,0,14
249,572,616,1,18
251,574,605,25,0
252,575,576,0,0
254,579,616,24,0
256,585,616,8,0
257,588,588,0,14
258,590,616,13,0
259,596,597,20,14
260,596,616,34,12
261,603,616,0,0
262,603,616,0,0
263,605,616,15,14
264,606,611,0,10
265,610,610,0,10
266,614,616,0,0
267,615,616,0,0
